Response ID,Faculty,Subject Knowledge,Regularity & Punctuality,Communication Skills,Syllabus Coverage,Interest Generated in Subject,Faculty Preparation,Overall Acceptance,Subject
RESP-001,A,4,4,4,4,4,4,5,DBMS
RESP-002,A,4,4,4,4,4,4,4,DBMS
RESP-003,A,5,5,4,4,5,4,4,DBMS
RESP-004,A,5,5,5,5,5,5,5,DBMS
RESP-005,A,5,5,5,5,5,5,5,DBMS
RESP-006,A,2,3,2,3,2,3,3,DBMS
RESP-007,A,5,5,5,5,5,5,5,DBMS
RESP-008,A,5,5,5,5,5,5,5,DBMS
RESP-009,A,4,4,4,4,4,4,4,DBMS
RESP-010,A,4,4,3,3,2,4,3,DBMS
RESP-011,A,4,5,3,5,3,4,4,DBMS
RESP-012,A,5,5,5,5,5,5,5,DBMS
RESP-013,A,4,4,4,3,3,4,4,DBMS
RESP-014,A,3,4,3,4,4,4,4,DBMS
RESP-015,A,3,4,4,5,5,5,4,DBMS
RESP-016,A,3,4,4,4,4,4,4,DBMS
RESP-017,A,3,3,4,4,5,5,4,DBMS
RESP-018,A,5,5,5,5,5,5,5,DBMS
RESP-019,A,5,5,5,5,5,5,5,DBMS
RESP-020,A,2,3,3,2,2,3,3,DBMS
RESP-021,A,5,5,5,5,5,5,5,DBMS
RESP-022,A,5,5,5,5,5,5,5,DBMS
RESP-023,A,5,5,5,5,5,5,5,DBMS
RESP-024,A,3,3,3,3,3,3,1,DBMS
RESP-025,A,5,5,5,5,5,5,5,DBMS
RESP-026,A,5,5,5,5,5,5,5,DBMS
RESP-027,A,4,3,3,4,4,4,4,DBMS
RESP-028,A,4,4,3,3,3,3,3,DBMS
RESP-029,A,3,4,4,4,3,4,4,DBMS
RESP-030,A,4,4,2,3,2,3,3,DBMS
RESP-031,A,5,5,5,5,5,5,5,DBMS
RESP-032,A,5,5,5,5,5,5,5,DBMS
RESP-033,A,5,5,5,4,4,5,5,DBMS
RESP-034,A,3,4,3,3,3,4,4,DBMS
RESP-035,A,4,5,4,4,2,2,4,DBMS
RESP-036,A,4,4,4,5,4,4,4,DBMS
RESP-037,A,4,5,4,4,5,5,5,DBMS
RESP-038,A,4,4,3,3,3,4,3,DBMS
RESP-039,A,4,5,5,5,4,5,5,DBMS
RESP-040,A,5,5,5,5,5,5,5,DBMS
RESP-041,A,4,4,4,4,4,4,4,DBMS
RESP-042,A,5,5,5,5,5,5,5,DBMS
RESP-043,A,4,4,4,4,4,4,4,DBMS
RESP-044,A,2,4,3,3,1,3,1,DBMS
RESP-045,A,2,3,3,3,2,4,3,DBMS
RESP-046,A,4,5,4,4,4,3,4,DBMS
RESP-047,A,2,2,1,1,1,1,1,DBMS
RESP-048,A,5,5,5,5,5,5,5,DBMS
RESP-049,A,5,5,5,5,5,5,5,DBMS
RESP-050,A,5,5,5,5,5,5,5,DBMS
RESP-051,A,5,5,5,5,5,4,5,DBMS
RESP-052,A,5,5,5,5,5,5,5,DBMS
RESP-053,A,3,3,4,5,5,1,2,DBMS
RESP-054,A,4,4,4,3,3,3,3,DBMS
RESP-055,A,3,3,3,3,3,3,3,DBMS
RESP-056,A,3,4,3,5,4,4,4,OS
RESP-057,A,4,4,4,4,4,4,4,OS
RESP-058,A,3,2,1,2,3,4,2,OS
RESP-059,A,5,5,5,5,5,5,5,OS
RESP-060,A,5,5,5,5,5,5,5,OS
RESP-061,A,3,3,3,4,1,2,2,OS
RESP-062,A,4,4,4,4,4,4,4,OS
RESP-063,A,5,5,5,5,5,5,5,OS
RESP-064,A,5,5,5,5,5,5,5,OS
RESP-065,A,3,3,3,3,3,3,3,OS
RESP-066,A,5,5,5,5,5,5,5,OS
RESP-067,A,2,4,2,2,1,2,2,OS
RESP-068,A,5,5,5,5,5,5,5,OS
RESP-069,A,4,4,4,4,4,4,4,OS
RESP-070,A,5,5,5,5,5,5,5,OS
RESP-071,A,4,4,4,4,5,4,4,OS
RESP-072,A,5,5,4,5,4,5,4,OS
RESP-073,A,4,4,4,4,4,4,4,OS
RESP-074,A,4,4,5,4,5,4,4,OS
RESP-075,A,3,5,5,4,4,5,4,OS
RESP-076,A,5,5,5,5,5,5,5,OS
RESP-077,A,3,4,4,3,1,3,3,OS
RESP-078,A,4,4,4,4,4,5,5,OS
RESP-079,A,5,5,5,5,5,5,5,OS
RESP-080,A,3,4,2,4,1,4,4,OS
RESP-081,A,3,3,2,2,3,3,2,OS
RESP-082,A,3,3,3,3,3,3,3,OS
RESP-083,A,4,3,4,4,4,5,4,OS
RESP-084,A,4,4,4,4,4,4,4,OS
RESP-085,A,5,5,5,5,5,5,5,OS
RESP-086,A,5,5,5,5,5,5,5,OS
RESP-087,A,5,5,5,5,5,5,5,OS
RESP-088,A,4,4,3,4,4,3,4,OS
RESP-089,A,5,5,5,5,5,5,5,OS
RESP-090,A,4,5,4,4,5,4,5,OS
RESP-091,A,5,5,5,5,5,5,5,OS
RESP-092,A,4,5,3,5,4,4,4,OS
RESP-093,A,2,2,2,1,1,1,1,OS
RESP-094,A,4,5,4,4,5,5,5,OS
RESP-095,A,4,4,4,4,4,4,4,OS
RESP-096,A,3,5,4,4,3,3,3,OS
RESP-097,A,5,5,4,4,5,4,5,OS
RESP-098,A,4,4,4,4,4,4,4,OS
RESP-099,A,5,5,5,5,5,5,5,OS
RESP-100,A,4,4,3,4,3,4,4,OS
RESP-101,A,5,5,5,5,5,5,5,OS
RESP-102,B,5,5,5,5,5,5,5,OS
RESP-103,B,4,4,4,4,4,4,4,OS
RESP-104,B,3,3,3,3,3,3,4,OS
RESP-105,B,5,5,5,5,5,5,5,OS
RESP-106,B,4,5,5,5,4,5,5,OS
RESP-107,B,2,3,2,2,2,2,2,OS
RESP-108,B,5,5,5,5,5,5,5,OS
RESP-109,B,5,5,5,5,5,5,5,OS
RESP-110,B,4,4,3,3,3,4,4,OS
RESP-111,B,4,3,3,3,3,3,3,OS
RESP-112,B,3,4,4,5,3,4,3,OS
RESP-113,B,5,5,5,5,5,5,5,OS
RESP-114,B,4,4,4,3,3,4,4,OS
RESP-115,B,3,4,3,4,4,4,4,OS
RESP-116,B,3,2,2,3,3,2,2,OS
RESP-117,B,3,4,5,4,4,4,4,OS
RESP-118,B,5,5,5,5,4,4,4,OS
RESP-119,B,3,5,4,5,3,3,3,OS
RESP-120,B,2,3,2,3,3,2,2,OS
RESP-121,B,3,3,3,3,1,3,3,OS
RESP-122,B,5,5,5,5,5,5,5,OS
RESP-123,B,5,5,5,5,5,5,5,OS
RESP-124,B,5,5,5,5,5,5,5,OS
RESP-125,B,1,1,1,1,1,1,1,OS
RESP-126,B,5,5,5,5,5,5,5,OS
RESP-127,B,5,5,5,5,5,5,5,OS
RESP-128,B,4,4,4,4,3,4,3,OS
RESP-129,B,4,4,4,4,4,4,4,OS
RESP-130,B,3,3,3,3,3,3,3,OS
RESP-131,B,4,4,4,4,3,4,4,OS
RESP-132,B,5,5,5,5,5,5,5,OS
RESP-133,B,5,5,5,5,5,5,5,OS
RESP-134,B,3,5,4,4,3,4,4,OS
RESP-135,B,4,4,4,4,3,3,4,OS
RESP-136,B,1,1,1,1,1,1,1,OS
RESP-137,B,5,5,5,5,5,5,5,OS
RESP-138,B,4,5,5,5,4,5,4,OS
RESP-139,B,4,4,3,4,4,4,4,OS
RESP-140,B,4,5,5,5,5,5,5,OS
RESP-141,B,1,3,2,2,2,2,1,OS
RESP-142,B,4,4,4,4,4,4,4,OS
RESP-143,B,5,5,5,5,5,5,5,OS
RESP-144,B,4,4,4,4,4,4,4,OS
RESP-145,B,4,4,4,4,3,3,3,OS
RESP-146,B,3,2,2,2,2,2,1,OS
RESP-147,B,4,4,4,4,4,4,4,BDA
RESP-148,B,2,2,2,2,2,2,2,BDA
RESP-149,B,5,5,5,5,5,5,5,BDA
RESP-150,B,5,5,5,5,5,5,5,BDA
RESP-151,B,4,4,4,4,4,4,4,BDA
RESP-152,B,4,4,4,4,5,5,4,BDA
RESP-153,B,5,5,5,5,5,5,5,BDA
RESP-154,B,1,1,1,1,1,1,1,BDA
RESP-155,B,4,5,5,5,5,5,5,BDA
RESP-156,B,2,2,2,2,2,2,2,BDA
RESP-157,B,5,5,5,5,5,5,5,BDA
RESP-158,B,4,4,4,4,4,4,4,BDA
RESP-159,B,1,2,2,3,4,4,4,BDA
RESP-160,B,4,4,4,4,4,4,4,BDA
RESP-161,B,5,5,5,5,5,5,5,BDA
RESP-162,B,1,1,1,1,1,1,1,BDA
RESP-163,B,1,1,1,1,1,1,1,BDA
RESP-164,B,5,5,5,5,5,5,5,BDA
RESP-165,B,4,4,4,4,4,4,4,BDA
RESP-166,B,1,1,1,1,1,1,1,BDA
RESP-167,B,5,5,5,5,5,5,5,BDA
RESP-168,B,3,2,1,1,1,1,1,BDA
RESP-169,B,5,5,5,5,5,5,5,BDA
RESP-170,B,3,3,3,3,3,3,3,BDA
RESP-171,B,3,3,3,3,3,3,3,BDA
RESP-172,B,4,4,4,4,4,4,3,BDA
RESP-173,B,4,4,4,4,4,4,4,BDA
RESP-174,B,4,4,4,4,4,4,4,BDA
RESP-175,B,4,4,4,4,3,4,4,BDA
RESP-176,B,4,4,4,4,5,4,4,BDA
RESP-177,B,5,5,5,5,5,5,5,BDA
RESP-178,B,4,5,4,5,5,5,4,BDA
RESP-179,B,5,5,5,5,5,5,5,BDA
RESP-180,B,5,5,5,5,5,5,5,BDA
RESP-181,B,5,5,5,5,3,5,4,BDA
RESP-182,B,5,5,5,5,4,5,4,BDA
RESP-183,B,3,4,4,3,4,4,4,BDA
RESP-184,B,5,5,5,5,5,5,5,BDA
RESP-185,B,3,3,3,3,3,3,3,BDA
RESP-186,B,5,5,5,5,5,5,5,BDA
RESP-187,B,5,5,5,5,5,5,5,BDA
RESP-188,B,3,3,3,3,3,3,3,BDA
RESP-189,B,5,4,5,5,5,5,5,BDA
RESP-190,B,5,5,5,5,5,5,5,BDA
RESP-191,B,4,3,3,3,5,2,3,BDA
RESP-192,B,4,4,4,4,4,4,4,BDA
RESP-193,B,5,5,4,5,4,4,4,BDA
RESP-194,B,2,1,1,1,2,2,1,BDA
RESP-195,B,4,4,2,3,2,2,3,BDA
RESP-196,B,3,3,3,3,3,3,3,BDA
RESP-197,B,2,4,3,3,1,2,1,BDA
RESP-198,B,4,3,3,4,3,4,3,BDA
RESP-199,B,4,4,4,4,4,4,4,BDA
RESP-200,B,4,4,3,4,5,4,3,BDA
RESP-201,B,4,4,4,5,4,5,5,BDA
RESP-202,B,4,4,4,4,4,4,4,BDA
RESP-203,C,3,3,2,1,1,3,1,BDA
RESP-204,C,4,4,3,4,4,4,4,BDA
RESP-205,C,3,3,3,3,3,3,3,BDA
RESP-206,C,5,5,5,5,5,5,5,BDA
RESP-207,C,5,5,5,5,4,5,5,BDA
RESP-208,C,2,2,2,2,2,2,2,BDA
RESP-209,C,5,5,5,5,5,5,5,BDA
RESP-210,C,5,5,5,5,5,5,5,BDA
RESP-211,C,3,3,3,2,2,5,4,BDA
RESP-212,C,4,4,3,2,2,3,3,BDA
RESP-213,C,4,5,4,5,4,4,4,BDA
RESP-214,C,5,5,5,5,5,5,5,BDA
RESP-215,C,4,5,3,4,4,5,4,BDA
RESP-216,C,3,3,3,3,3,3,3,BDA
RESP-217,C,1,1,1,1,1,1,1,BDA
RESP-218,C,3,3,4,2,2,2,3,BDA
RESP-219,C,4,5,4,4,3,4,4,BDA
RESP-220,C,5,5,5,3,5,5,5,BDA
RESP-221,C,5,5,5,5,5,5,5,BDA
RESP-222,C,3,4,3,1,3,4,3,BDA
RESP-223,C,5,5,3,3,3,5,5,BDA
RESP-224,C,5,5,5,5,5,5,5,BDA
RESP-225,C,3,5,3,3,3,3,3,BDA
RESP-226,C,2,2,2,2,2,2,2,BDA
RESP-227,C,5,5,5,5,5,5,5,BDA
RESP-228,C,5,5,5,5,5,5,5,BDA
RESP-229,C,5,5,4,4,4,4,4,BDA
RESP-230,C,4,3,3,4,3,3,3,BDA
RESP-231,C,3,3,2,3,2,2,3,BDA
RESP-232,C,4,4,3,3,2,3,3,BDA
RESP-233,C,5,5,5,5,5,5,5,BDA
RESP-234,C,5,5,5,5,5,5,5,BDA
RESP-235,C,5,5,5,5,4,5,5,BDA
RESP-236,C,4,3,3,3,3,4,4,BDA
RESP-237,C,2,2,2,2,2,2,2,BDA
RESP-238,C,5,5,4,5,4,5,4,BDA
RESP-239,C,5,5,4,4,4,5,4,BDA
RESP-240,C,3,4,3,3,3,3,3,BDA
RESP-241,C,5,5,5,5,4,5,5,BDA
RESP-242,C,5,5,5,5,5,5,5,BDA
RESP-243,C,4,4,4,4,4,4,4,BDA
RESP-244,C,5,5,5,5,5,5,5,BDA
RESP-245,C,4,4,4,4,4,4,4,BDA
RESP-246,C,5,5,5,5,5,5,5,BDA
RESP-247,C,4,5,4,5,5,5,5,BDA
RESP-248,C,5,5,5,3,3,4,4,BDA
RESP-249,C,4,4,1,1,3,3,2,BDA
RESP-250,C,5,5,5,5,5,5,5,BDA
RESP-251,C,5,5,5,5,5,5,5,BDA
RESP-252,C,5,5,5,5,5,5,5,BDA
RESP-253,C,5,5,5,5,5,5,5,BDA
RESP-254,C,5,5,5,5,5,5,5,BDA
RESP-255,C,4,2,1,2,1,1,2,BDA
RESP-256,C,4,5,5,4,5,4,5,BDA
RESP-257,C,3,3,3,3,3,3,3,BDA
RESP-258,C,5,5,5,5,5,5,5,BDA
RESP-259,C,4,4,4,4,4,4,4,BDA
RESP-260,C,2,2,2,3,2,3,2,BDA
RESP-261,C,4,5,4,4,4,4,4,BDA
RESP-262,C,5,5,5,5,5,5,5,BDA
RESP-263,C,3,3,3,3,3,3,3,ML
RESP-264,C,1,1,1,1,1,1,1,ML
RESP-265,C,5,5,5,5,5,5,5,ML
RESP-266,C,4,4,4,4,4,4,4,ML
RESP-267,C,3,3,3,3,3,3,3,ML
RESP-268,C,5,5,5,5,5,5,5,ML
RESP-269,C,3,1,1,1,1,2,1,ML
RESP-270,C,5,5,5,5,5,5,5,ML
RESP-271,C,4,4,4,4,4,4,4,ML
RESP-272,C,4,4,4,4,4,4,4,ML
RESP-273,C,5,3,4,3,5,4,4,ML
RESP-274,C,5,5,4,5,2,5,4,ML
RESP-275,C,5,5,5,5,5,5,5,ML
RESP-276,C,4,4,4,4,4,4,4,ML
RESP-277,C,5,5,4,5,4,5,4,ML
RESP-278,C,5,5,5,5,5,5,5,ML
RESP-279,C,4,4,4,4,4,4,4,ML
RESP-280,C,3,3,2,4,5,4,3,ML
RESP-281,C,5,5,5,5,5,5,5,ML
RESP-282,C,4,4,3,2,1,3,3,ML
RESP-283,C,4,4,3,4,4,4,3,ML
RESP-284,C,3,2,3,2,3,2,3,ML
RESP-285,C,4,4,4,4,4,5,4,ML
RESP-286,C,4,4,4,4,4,4,4,ML
RESP-287,C,5,5,5,5,5,5,5,ML
RESP-288,C,5,5,5,5,5,5,5,ML
RESP-289,C,2,2,2,2,2,2,2,ML
RESP-290,C,5,5,5,5,5,5,5,ML
RESP-291,C,5,5,5,5,5,5,5,ML
RESP-292,C,4,4,2,3,3,2,2,ML
RESP-293,C,5,5,5,5,5,5,5,ML
RESP-294,C,5,5,4,5,4,4,4,ML
RESP-295,C,2,2,1,3,3,5,3,ML
RESP-296,C,5,5,5,4,4,4,4,ML
RESP-297,C,4,4,4,4,4,4,4,ML
